Part Number ,Description ,Type,Supplier name ,UOM ,,
PACK000442,Thai Green Chicken Curry with Black Rice Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000453,Lamb Shepherds Pie ith Chunky Sweet Potato Mash Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000454,Italian Style Beef Lasagne Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000455,Lamb Tagine Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000468,Fish Pie Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000470,Sweet and Sour Tofu Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000471,Thai Yellow Tofu Curry Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000472,Keralan Fish Curry with Black Rice & Coconut Beans Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000473,Middle Eastern Chicken Roasted Veg and Quinoa Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000474,Cashew Carbonara with Smk Tofu and Pesto Broccoli Sleeve MC,PACK,Jump Design and Print Limited,Each,,
